modulus,depth,width,init,wd,seed,step,train_accuracy,test_accuracy,train_loss,test_loss
91,1,128,1,0.45,0,1,0.009259259328246117,0.011557701975107193,4.537816524505615,4.557003974914551
91,1,128,1,0.45,0,100,0.5752817988395691,0.00017250301607418805,2.0529708862304688,6.767711639404297
91,1,128,1,0.45,0,200,1.0,0.0005175090627744794,0.021487167105078697,8.075178146362305
91,1,128,1,0.45,0,300,1.0,0.0006900120642967522,0.011658050119876862,7.997433662414551
91,1,128,1,0.45,0,400,1.0,0.0010350181255489588,0.00871844682842493,7.8553385734558105
91,1,128,1,0.45,0,500,1.0,0.0012075210688635707,0.007272275164723396,7.709405899047852
91,1,128,1,0.45,0,600,1.0,0.0013800241285935044,0.006363085005432367,7.573851585388184
91,1,128,1,0.45,0,700,1.0,0.0013800241285935044,0.005699898581951857,7.4528985023498535
91,1,128,1,0.45,0,800,1.0,0.0015525271883234382,0.005171918775886297,7.347122669219971
91,1,128,1,0.45,0,900,1.0,0.0015525271883234382,0.004730949643999338,7.255887985229492
91,1,128,1,0.45,0,1000,1.0,0.0013800241285935044,0.08201290667057037,8.10490894317627
91,1,128,1,0.45,0,1100,1.0,0.0010350181255489588,0.013518056832253933,8.264863014221191
91,1,128,1,0.45,0,1200,1.0,0.0013800241285935044,0.010957938618957996,8.032934188842773
91,1,128,1,0.45,0,1300,1.0,0.0012075210688635707,0.010120872408151627,7.817143440246582
91,1,128,1,0.45,0,1400,1.0,0.0015525271883234382,0.009699447080492973,7.636181354522705
91,1,128,1,0.45,0,1500,1.0,0.0018975331913679838,0.009359278716146946,7.490334510803223
91,1,128,1,0.45,0,1600,0.22946859896183014,0.0012075210688635707,2.899744987487793,7.210849285125732
91,1,128,1,0.45,0,1700,1.0,0.0012075210688635707,0.0177279282361269,8.447894096374512
91,1,128,1,0.45,0,1800,1.0,0.0015525271883234382,0.012755217961966991,8.228880882263184
91,1,128,1,0.45,0,1900,1.0,0.0015525271883234382,0.011765637435019016,7.99474573135376
91,1,128,1,0.45,0,2000,1.0,0.0018975331913679838,0.011457922868430614,7.798316955566406
91,1,128,1,0.45,0,2100,1.0,0.0022425393108278513,0.01123175397515297,7.642380714416504
91,1,128,1,0.45,0,2200,1.0,0.0020700362510979176,0.010925432667136192,7.520788669586182
91,1,128,1,0.45,0,2300,1.0,0.0012075210688635707,0.07489260286092758,8.40841293334961
91,1,128,1,0.45,0,2400,1.0,0.00172503013163805,0.011361926794052124,8.54355525970459
91,1,128,1,0.45,0,2500,1.0,0.0024150421377271414,0.010405460372567177,8.253669738769531
